t,R_comp_chi4_mod5,R_comp_chi4_mod4
1000.0,0.0014042623222340332,0.004055752828311282
1018.0360721442886,0.0012481864062849476,0.0032461889843032033
1036.0721442885772,0.001844925397237211,0.0020765063661834743
1054.1082164328657,0.004784252307731521,0.0012380440584025848
1072.1442885771544,0.0009795550424590554,0.0049185917749526645
1090.1803607214429,0.0014892381326533715,0.003755594357257432
1108.2164328657313,0.004300991922985605,0.0022515562124881404
1126.25250501002,0.0008358244078626744,0.00418014537027226
1144.2885771543085,0.002045069487162957,0.0021519272428987047
1162.3246492985973,0.0023228230546850784,0.003398879301635647
1180.3607214428857,0.0017058629314186339,0.0019494450674346366
1198.3967935871744,0.0015258850672260234,0.0016179203788378354
1216.432865731463,0.004847003151310835,0.002266048380066726
1234.4689378757516,0.0005629774364726784,0.0025926388259164463
1252.5050100200401,0.0023767509727448586,0.00039321066650610683
1270.5410821643286,0.0010697975240958457,0.0009964585746781425
1288.5771543086173,0.004083828430807235,0.0017296135940379396
1306.6132264529058,0.001230700058522601,0.00176797131222317
1324.6492985971945,0.0046099720019381445,0.00339824943118473
1342.685370741483,0.0020584261383376095,0.004276311387234103
1360.7214428857715,0.0008498103841825657,0.00167007269031873
1378.7575150300602,0.0035546806524386627,0.004939250450000872
1396.7935871743487,0.0024914958819882605,0.008331127946529225
1414.8296593186374,0.0018521336686725528,0.00042706721623023055
1432.8657314629259,0.0010542046984558207,0.0009407042839445534
1450.9018036072143,0.0025288486467272457,0.001653910489130168
1468.937875751503,0.003515358814375268,0.002029140928114507
1486.9739478957918,0.00024410833811299508,0.004326328387973062
1505.0100200400802,0.0005858032154871923,0.0022815432205337267
1523.0460921843687,0.0015454066139094621,0.006190405909554522
1541.0821643286572,0.0007664062546918552,0.0035082904740611097
1559.118236472946,0.0021359971711102555,0.00643260634299994
1577.1543086172346,0.000271411923638599,0.00042276806430937533
1595.190380761523,0.0012204371023695007,0.005039760137991483
1613.2264529058116,0.0007195482917406175,0.004589584475542333
1631.2625250501003,0.0018929781371463481,0.003080141164123761
1649.2985971943888,0.0014301484348477414,0.001851749509086749
1667.3346693386775,0.0035766201441750117,0.0025178835115170655
1685.370741482966,0.004491390808868629,0.0006349490239034683
1703.4068136272545,0.0019341367102615613,0.003956790251802661
1721.4428857715432,0.0023341978822556692,0.0026853502289937883
1739.4789579158319,0.0009413919984299116,0.003704777578251779
1757.5150300601204,0.00179589971123147,0.0015680520596875736
1775.5511022044088,0.004846131284324316,0.0014598181300089863
1793.5871743486973,0.002612157595739528,0.0020819025080884234
1811.623246492986,0.0038728112463145806,0.0037989423503912417
1829.6593186372747,0.000946761933455327,0.0024475880948772013
1847.6953907815632,0.00203994769214653,0.00264243815354854
1865.7314629258517,0.0010683379765567588,0.0031589496515044666
1883.7675350701402,0.0010901633013424975,0.00447386173609964
1901.803607214429,0.0016452122812375617,0.0026636075999990775
1919.8396793587176,0.0022616687172473536,0.0031827451376386694
1937.875751503006,0.0034990942633691697,0.003156190919263371
1955.9118236472946,0.0009337097678480746,0.002568360584148043
1973.9478957915833,0.0017030771468281494,0.005699879207845048
1991.9839679358718,0.002317538832809676,0.0038435906478748506
2010.0200400801605,0.0031311955689248333,0.0029287856902612108
2028.056112224449,0.0010030224038275397,0.004759681024046425
2046.0921843687374,0.004943879640110598,0.0036275489941670395
2064.128256513026,0.0030035990709712723,0.0023406608197559563
2082.1643286573144,0.000687034783095074,0.002685497176701802
2100.2004008016033,0.003179513518402819,0.004373313463126351
2118.236472945892,0.003025060847304823,0.0005522101032167994
2136.2725450901808,0.0016420009444476716,0.003115800432043228
2154.3086172344692,0.0018461603856016445,0.0006007170921360785
2172.3446893787577,0.005906968308228058,0.0033121794812675425
2190.380761523046,0.002808829585559616,0.0029310408966107923
2208.4168336673347,0.003204089972970617,0.0024289200899452177
2226.452905811623,0.0005072388692705389,0.00527488095234479
2244.4889779559117,0.0026434478322284742,0.001406732732870948
2262.5250501002006,0.0008917144646876314,0.0017490024085619201
2280.561122244489,0.0018105371399877437,0.0028444933504680366
2298.5971943887776,0.0031745306339071412,0.0016382115114944261
2316.6332665330665,0.001830275583952821,0.0024476200028157344
2334.669338677355,0.0009405213752641725,0.004122794095806546
2352.7054108216435,0.0027897106005589883,0.0009538447242464337
2370.741482965932,0.0015692341368821086,0.0047005191845029895
2388.7775551102204,0.003064110860093029,0.005550523810558129
2406.813627254509,0.001240677200968254,0.004583562476260089
2424.8496993987974,0.0005629092352564207,0.002105388700783228
2442.8857715430863,0.001596440943824712,0.002549291819377267
2460.921843687375,0.0005941145402616379,0.007876136986564235
2478.9579158316637,0.0030701709294163573,0.002560633119809269
2496.993987975952,0.002443853820987818,0.0024481096555515657
2515.0300601202407,0.001748536937699411,0.005885910778984809
2533.066132264529,0.001684795108001046,0.0026519853067236243
2551.1022044088177,0.002442334302644487,0.0046252965511985634
2569.138276553106,0.0029408878816436505,0.003168342392240036
2587.1743486973946,0.0014171488690984699,0.005847512400894737
2605.2104208416836,0.0032113345006686317,0.005865851595446328
2623.246492985972,0.002463582467729833,0.0010896903890889244
2641.2825651302605,0.0024530956559542186,0.0019631069531863264
2659.3186372745495,0.0013339768999410682,0.0005932252900835963
2677.354709418838,0.0047528593094300865,0.0035498305344046736
2695.3907815631264,0.004933017752595922,0.0023671678928052753
2713.426853707415,0.0031940155316275104,0.003524371636573245
2731.4629258517034,0.0020906055475535053,0.003172673911667029
2749.498997995992,0.0029586311334518743,0.0025870403958111734
2767.5350701402804,0.0020670816618239144,0.0028940777392260993
2785.5711422845693,0.0013810687718562114,0.0012421015052028555
2803.607214428858,0.007099904729579294,0.002962888025978008
2821.6432865731467,0.0010648629153275448,0.003770229630612518
2839.679358717435,0.0022612750752499062,0.0017620020409016264
2857.7154308617237,0.0016708158881783097,0.003096541610338886
2875.751503006012,0.0032017794410893804,0.005167128149776635
2893.7875751503007,0.0014138405305899541,0.0020708929557105367
2911.823647294589,0.002755921364557618,0.00041526181103037425
2929.8597194388776,0.004815251901785192,0.0015474906440271813
2947.8957915831666,0.0009987514534538036,0.0013796869168543567
2965.931863727455,0.002898760188907873,0.0020956613512473927
2983.9679358717435,0.0020099903037866995,0.0037695950835895976
3002.0040080160325,0.0015015852618917326,0.0038032579771582068
3020.040080160321,0.002832047196377067,0.00464285383775773
3038.0761523046094,0.0027127287690177056,0.004313610903642134
3056.112224448898,0.002782620093042727,0.007050380798462611
3074.1482965931864,0.0020810506926711354,0.003000165505612312
3092.184368737475,0.0009355207274919138,0.002400418668294847
3110.220440881764,0.002129894732182538,0.0014356770500145851
3128.2565130260523,0.0016634639816915538,0.0025530645761193843
3146.2925851703408,0.0040206202339863285,0.0017544501177536107
3164.3286573146293,0.0038048221252257345,0.0024593072452326324
3182.364729458918,0.00034884732897517653,0.005435640293763021
3200.4008016032067,0.0029927279352250174,0.0012996931423169412
3218.436873747495,0.0019226423781569984,0.002327021161269099
3236.4729458917836,0.0036568420562391375,0.0018218938946410583
3254.509018036072,0.0021284457150748653,0.004130865869053567
3272.545090180361,0.00231630565671283,0.004942837958019129
3290.5811623246495,0.0022421597294011446,0.003053580988663624
3308.617234468938,0.002893153508855027,0.0010263108327307289
3326.6533066132265,0.0018166934159583265,0.004761283731520736
3344.689378757515,0.0015662845759940162,0.00023024797199159642
3362.725450901804,0.0012730194183558083,0.0037277811820723684
3380.7615230460924,0.0013101126375950096,0.0024764953868949852
3398.797595190381,0.0021498237928133045,0.0019722268417716148
3416.8336673346694,0.0033183269433467405,0.00041470318808056695
3434.869739478958,0.002407084663023012,0.0046591936538481465
3452.905811623247,0.0012988842481322434,0.0005112698686792184
3470.9418837675353,0.0031145667819219083,0.0040697769284489685
3488.9779559118238,0.0006281089530922243,0.0005376449390720917
3507.0140280561122,0.0019008930201357078,0.004333082787233347
3525.050100200401,0.0021024527625774212,0.0054569178232819465
3543.0861723446897,0.0012681293225069625,0.005135365138489758
3561.122244488978,0.002889365782355564,0.002407709640124756
3579.1583166332666,0.004191030887777798,0.003176485505078772
3597.194388777555,0.0009307189121433707,0.004249396186005376
3615.230460921844,0.0025159215968680432,0.0031681056101353078
3633.2665330661325,0.003286768381761498,0.0010263263201188602
3651.302605210421,0.001037767598950139,0.004489477383731771
3669.3386773547095,0.003244799840051368,0.002706025791117199
3687.374749498998,0.0040100090847187304,0.0036939781757558553
3705.410821643287,0.00416730313901909,0.002406023699052963
3723.4468937875754,0.002354264329547093,0.004044416661995489
3741.482965931864,0.0015058612327503865,0.001888555504110724
3759.5190380761524,0.003951616697400995,0.004429678879766229
3777.555110220441,0.0025964208040768974,0.001966150904389752
3795.59118236473,0.003764629841469648,0.004964412673182801
3813.6272545090183,0.005884223955768097,0.004213126630526996
3831.6633266533067,0.0013199238160272251,0.002502106927767676
3849.699398797595,0.0009613676784310589,0.0028425208397808823
3867.735470941884,0.0025266114528632085,0.003808554778055454
3885.7715430861726,0.0024136442565181673,0.006687284607096831
3903.807615230461,0.0026726679185948535,0.00021359229823369373
3921.8436873747496,0.003017964438750895,0.0006733422885066596
3939.879759519038,0.001869505882453008,0.0025962714583037784
3957.915831663327,0.0025464850937437543,0.0005903326324335691
3975.9519038076155,0.0014974648180948863,0.0036000076578176924
3993.987975951904,0.0021938579706012617,0.0017156654886871044
4012.0240480961925,0.004893988333239969,0.0038324192208895095
4030.060120240481,0.004216542876060595,0.004502730856756525
4048.09619238477,0.004815095121308014,0.004015620074071102
4066.1322645290584,0.0018400660005581657,0.0049704920439245385
4084.168336673347,0.0025285192445640013,0.002135182642038638
4102.204408817635,0.0009339436851555444,0.006833620411058516
4120.240480961924,0.0016518762794790805,0.002456933095454191
4138.276553106212,0.0034823833628708427,0.005546564700302886
4156.312625250501,0.00084065311270048,0.0022730049088673775
4174.348697394789,0.0020408170888534566,0.005701707736568435
4192.384769539078,0.0014448990417836496,0.0026446163217983027
4210.420841683367,0.001184761997075346,0.003509215784467305
4228.456913827656,0.003204046502932052,0.0007096923850731908
4246.492985971944,0.0018332960451432395,0.004536739825789845
4264.529058116233,0.007168372277941906,0.007155723287193291
4282.565130260521,0.0007065302070792948,0.005248257988264741
4300.6012024048105,0.0033995947234437547,0.002172462861425264
4318.637274549099,0.0029724432829552243,0.003605822450288623
4336.673346693387,0.0035803097920221994,0.00434385525723019
4354.709418837676,0.006298634627197913,0.0020242117362132984
4372.745490981964,0.0027864546750125175,0.007150841961702963
4390.781563126253,0.003853780311787454,0.005275115815722175
4408.817635270541,0.0005139017198367428,0.0031205186797133616
4426.85370741483,0.004459015496042838,0.0034557584311553356
4444.889779559118,0.0033420778892117153,0.002362074167547271
4462.925851703407,0.0023509323534690605,0.003886592023454948
4480.961923847695,0.0054491799782268036,0.002101670672168962
4498.997995991984,0.004801740724779524,0.003136345797876848
4517.034068136272,0.004559223807560228,0.0038697775010709512
4535.070140280561,0.003059890939157563,0.0009247583559283784
4553.10621242485,0.002979763950390315,0.0009211761315680545
4571.142284569139,0.004226225162984401,0.005163684136276457
4589.178356713427,0.0013407948483978337,0.0028541893443808407
4607.214428857716,0.0032764807130981418,0.0018094364567927824
4625.250501002004,0.002275041375949156,0.004350283531512867
4643.286573146293,0.0020082656391912234,0.0060626296496211745
4661.322645290582,0.0011595108503175903,0.0032692294282004528
4679.35871743487,0.0028305314729033474,0.004638341542510365
4697.394789579159,0.0001861503769441516,0.002480760001584105
4715.430861723447,0.002416159469746036,0.0028817849632432235
4733.466933867736,0.0047860934290477565,0.0004903942501086128
4751.503006012024,0.0025984406670117124,0.0029407203003064273
4769.539078156313,0.003544545915053429,0.0030728072979727622
4787.575150300601,0.0015422057565256707,0.0012418567182462905
4805.61122244489,0.0038045682719032906,0.0017825860236772412
4823.647294589178,0.0013913395604984225,0.005221041148361266
4841.683366733467,0.004921458381616314,0.001720480703813355
4859.719438877755,0.004439966672235365,0.001746335888633176
4877.755511022044,0.0021490664489167265,0.006810575165305162
4895.791583166333,0.004621802635761885,0.002410370594483432
4913.827655310622,0.0020628097701435298,0.005077942658574429
4931.86372745491,0.002961454389641497,0.0028219701666754157
4949.899799599199,0.0018110834851367272,0.003341700399272549
4967.935871743487,0.0007737537239950453,0.002446639625768996
4985.971943887776,0.001842692108505965,0.005073949516565757
5004.008016032065,0.003985559781501495,0.001827746913568328
5022.044088176353,0.0013948225987213078,0.001640211410443631
5040.080160320642,0.001705883901183751,0.002931381655103401
5058.11623246493,0.0018497701746869985,0.0026775904473867566
5076.152304609219,0.002762659192457589,0.0010674123349295142
5094.188376753507,0.0005766169177098815,0.00547842285865039
5112.224448897796,0.002826011001009317,0.0033363328699358395
5130.260521042084,0.00413061184173425,0.0008117822566101825
5148.296593186373,0.0011680888166506254,0.005544476700901678
5166.332665330661,0.0005725597898574549,0.001976349493403818
5184.36873747495,0.0031597265251198563,0.004794808041009628
5202.404809619239,0.001463914808276468,0.00836758727255638
5220.440881763528,0.0009089408554925088,0.004791549993853015
5238.476953907816,0.0033155680123312685,0.0022615986383665862
5256.513026052105,0.002720455873640681,0.002787864781604519
5274.549098196393,0.0022189066278078275,0.002875956850085244
5292.5851703406815,0.001448299875156589,0.0025494453724396724
5310.62124248497,0.0019958468634492096,0.0022019132527609487
5328.6573146292585,0.0013234620660898103,0.0008248843636938476
5346.693386773547,0.004659870800699228,0.0017523995256565866
5364.729458917836,0.0019934821660006967,0.003712366056610966
5382.765531062125,0.0028026878943442912,0.00526545807842721
5400.801603206413,0.005769849002631363,0.0008332373110655723
5418.837675350702,0.0011548665513205338,0.0029000825455959283
5436.87374749499,0.004673545678971255,0.0030218188173700027
5454.909819639279,0.005430535019802593,0.00763242713478613
5472.945891783567,0.0022420568273528846,0.003807643929117195
5490.981963927856,0.00046181099996035497,0.001498766321872882
5509.018036072144,0.002673139981596585,0.004408316706041773
5527.054108216433,0.004393482224777657,0.003944084587897178
5545.090180360722,0.0026032621305383,0.0004396396396189285
5563.126252505011,0.005694802703554117,0.0006157743782501499
5581.162324649299,0.005666351700703762,0.0017695301070905609
5599.198396793588,0.00023070819315439579,0.0034595315685029375
5617.234468937876,9.577149384676317e-05,0.006130011927525943
5635.2705410821645,0.004704447646270334,0.0013136688613446365
5653.306613226453,0.0025648615861690407,0.0034014223337120965
5671.3426853707415,0.002823899291611959,0.003170218305960564
5689.37875751503,0.0032555033932187435,0.003140400380267097
5707.414829659319,0.0022799285498863865,0.00202782942550544
5725.450901803608,0.0030886870021692935,0.0028018831552430873
5743.486973947896,0.0032171291325124676,0.0021031280868618264
5761.523046092185,0.0013725368858277728,0.007716943215555906
5779.559118236473,0.0015978055619085961,0.0016078541438906595
5797.595190380762,0.004140972631735845,0.0063738527259349954
5815.63126252505,0.0029971327176580072,0.000616234268911436
5833.667334669339,0.0014053198483459613,0.003852221669730785
5851.703406813627,0.0024166215382686786,0.007361722252111345
5869.739478957916,0.00020280104853137687,0.0009572248682201931
5887.775551102205,0.005259475817930061,0.0032563466775800878
5905.811623246494,0.002847715620446989,0.004331290154243168
5923.847695390782,0.0009092898866839122,0.0024689873393353404
5941.883767535071,0.002507589043908304,0.0042523657771064765
5959.919839679359,0.003136759288390742,0.004892028780462759
5977.9559118236475,0.0030770864763638686,0.004763694148022809
5995.991983967936,0.004120066784325812,0.005652486725167487
6014.0280561122245,0.0019495483600034417,0.003893178134762329
6032.064128256513,0.0027879141328712893,0.0008992169098348373
6050.100200400802,0.005161049085626149,0.0002786247777696373
6068.136272545091,0.004224062422556628,0.0011673589786550926
6086.172344689379,0.0017986992597226472,0.0012741754172871055
6104.208416833668,0.004332709586388232,0.00751969393977648
6122.244488977956,0.003293778769109827,0.0014334186346804632
6140.280561122245,0.0019480612963697925,0.007074531371677433
6158.316633266533,0.0031304411135613607,0.0030501301678952284
6176.352705410822,0.002060400780285866,0.0023105482987479742
6194.38877755511,0.0035311019299414485,0.003732337652064478
6212.424849699399,0.005880697107764173,0.002850892719286914
6230.460921843688,0.0065437613201792645,0.005886530336390611
6248.496993987977,0.0027424195757327166,0.005303959782354544
6266.533066132265,0.003080218366604848,0.0049926194369941035
6284.5691382765535,0.002581570436103485,0.0026393733461371957
6302.605210420842,0.0019249595939695528,0.00439411207236981
6320.6412825651305,0.005469696630459879,0.002720061018118674
6338.677354709419,0.003909205956116259,0.003799108477312353
6356.7134268537075,0.002318299377983966,0.0016475785799949666
6374.749498997996,0.00690455252646677,0.0032960448583637973
6392.785571142285,0.0014327306525009813,0.004975765451783982
6410.821643286574,0.002916706084209182,0.0018710406998268137
6428.857715430862,0.005032409506460587,0.004076657150939944
6446.893787575151,0.0023393074127209643,0.006453158942263004
6464.929859719439,0.003628077910415537,0.00824241551422404
6482.965931863728,0.0010006484051153484,0.0024492286476799855
6501.002004008016,0.004481624480661683,0.004375730558477897
6519.038076152305,0.0014871888968295197,0.00115996936609214
6537.074148296593,0.0021965923196853895,0.0028909252938658734
6555.110220440882,0.002026083081719852,0.003185836669032209
6573.146292585171,0.002955571058538692,0.004763891976588921
6591.18236472946,0.0014559132353072232,0.0032519259253856953
6609.218436873748,0.0012273780174088574,0.002970426690758686
6627.2545090180365,0.004114190485276602,0.001338437903178114
6645.290581162325,0.0024359577859067116,0.002510463713008585
6663.3266533066135,0.004153011694233837,0.000821757342728835
6681.362725450902,0.003960243083013003,0.0048857248665528505
6699.39879759519,0.0013613116422944629,0.00532382193460678
6717.434869739479,0.0033535056996721515,0.0035246145203439347
6735.470941883768,0.0009648502980219272,0.0050236300081606695
6753.507014028057,0.0019292231980251513,0.004650706717393886
6771.543086172345,0.004166444108822327,0.002915310774127749
6789.579158316634,0.0034320123201714943,0.002856526373667284
6807.615230460922,0.0006814351794296097,0.0034613709825777423
6825.651302605211,0.0034156815245505383,0.0013487785136807886
6843.687374749499,0.001700024300884834,0.006234234751987911
6861.723446893788,0.0016667148600097098,0.0029826309336298705
6879.759519038076,0.0032165177211478818,0.0038087151621329354
6897.795591182365,0.0008306130979152993,0.003872143544724524
6915.831663326654,0.0010273492798694673,0.0043270097239347565
6933.8677354709425,0.004490914095341797,0.0025436372197927184
6951.903807615231,0.0033667980095695195,0.004428108519517296
6969.9398797595195,0.00474672525354732,0.003052875839120787
6987.975951903808,0.003483754695601533,0.0013868252065762149
7006.0120240480965,0.003382832331007749,0.004750925974711921
7024.048096192385,0.001210803331433435,0.0019007636459757657
7042.084168336673,0.001934789306457325,0.002311597827775005
7060.120240480962,0.004930669021731084,0.003097387399702277
7078.156312625251,0.002595198459021873,0.006166945627848216
7096.19238476954,0.0032182640150378366,0.002794766138500123
7114.228456913828,0.002458297343780453,0.0018383788428578793
7132.264529058117,0.0015579167895869606,0.004409684896454542
7150.300601202405,0.004878066400353024,0.00575995523203522
7168.336673346694,0.002748964389106549,0.0028292828995851583
7186.372745490982,0.002322638400681722,0.0020915823237764135
7204.408817635271,0.0032064279335096133,0.004399775495394567
7222.444889779559,0.005146065349350383,0.002785426658745067
7240.480961923848,0.00215524161517449,0.004005889434838655
7258.517034068137,0.00030957882905869585,0.0030918339043338548
7276.5531062124255,0.00623213350037757,0.005533063801502735
7294.589178356714,0.0017522623416096252,0.0011214249847124
7312.6252505010025,0.005588847806122828,0.00648319687802851
7330.661322645291,0.004009069530246647,0.0011248183317578186
7348.697394789579,0.004236298954074358,0.00367088388903046
7366.733466933868,0.002268191207740378,0.0040652177545898475
7384.769539078156,0.002126530168128632,0.00490237572680981
7402.805611222445,0.0032263599875440195,0.0005237757072369438
7420.841683366734,0.005754145484394352,0.0006525388208131867
7438.877755511023,0.003559839398368264,0.0007707462675261273
7456.913827655311,0.002263688511344412,0.004589437817611961
7474.9498997996,0.0019262540411209104,0.001480390574937599
7492.985971943888,0.0007922039033665584,0.004466680803682513
7511.022044088177,0.003630986808063813,0.004395875198784289
7529.058116232465,0.004335765122924809,0.0026750733667712675
7547.094188376754,0.003585428845846016,0.004431046141800948
7565.130260521042,0.0042290751734165586,0.0020945150501593584
7583.166332665331,0.0006413121337489446,0.0023742951723898123
7601.20240480962,0.005426117840435121,0.0019960124681831304
7619.2384769539085,0.003314687358010766,0.002026286160715593
7637.274549098197,0.003230274505357972,0.0034854447585865624
7655.3106212424855,0.004550315197407421,0.003520225553534739
7673.346693386774,0.0015406041368160252,0.004041859322674574
7691.382765531062,0.0033732945056545293,0.0023044727145207764
7709.418837675351,0.0035484532294413674,0.0026518876641538746
7727.454909819639,0.0018982592444682657,0.001557169899863561
7745.490981963928,0.005603993316738209,0.0044199801873984566
7763.527054108217,0.008199782774233765,0.004385210664308103
7781.563126252506,0.0011373072546932601,0.003052920408805275
7799.599198396794,0.004929921433568237,0.006650686899628528
7817.635270541083,0.0024431567489791874,0.004768030557777153
7835.671342685371,0.001400130038630494,0.0019347324439300828
7853.70741482966,0.004944049301435159,0.0067209659852956885
7871.743486973948,0.004366896031012501,0.000357507320954317
7889.779559118237,0.0013935172293258705,0.004449382129847567
7907.815631262525,0.005213739890075568,0.003072176709207182
7925.851703406814,0.004645341061817473,0.003647900542074213
7943.887775551103,0.002958177244500998,0.003303776786476648
7961.9238476953915,0.001788025347390852,0.0031852841281528156
7979.95991983968,0.0051393299613827995,0.006994021909109179
7997.995991983968,0.0029851321947890314,0.0035532687290956706
8016.032064128257,0.006525247726295774,0.003318076593932982
8034.068136272545,0.004291468510260932,0.004814229203770004
8052.104208416834,0.0012272567201807086,0.0009921843185078363
8070.140280561122,0.0021692980694789075,0.00210716390748792
8088.176352705411,0.0011803221369325828,0.0035856985802935155
8106.2124248497,0.0051217294759874025,0.00768444251090925
8124.248496993989,0.002218915663682778,0.006445898580657203
8142.284569138277,0.002390057304590309,0.003904387952602387
8160.320641282566,0.002858708705101483,0.0026300229338383834
8178.356713426854,0.0016702560019599478,0.003613751747745599
8196.392785571143,0.004727336352233836,0.006238913314640373
8214.428857715431,0.0037995601757870446,0.0034928135706866594
8232.46492985972,0.004389983024076803,0.0028012905064229363
8250.501002004008,0.005106428795050767,0.0012269480772071305
8268.537074148298,0.0024312767762674006,0.005470080744707087
8286.573146292587,0.001420783726244922,0.0032008943813091133
8304.609218436875,0.0027303446930708308,0.0005249936249444833
8322.645290581164,0.0022575638883756497,0.005217591191243555
8340.681362725452,0.0019237275388752052,0.0023110095280207857
8358.71743486974,0.0010942001880138656,0.0027742197256873584
8376.75350701403,0.002752487142047733,0.0011899152947553162
8394.789579158318,0.0008763477686167251,0.0023330948058562914
8412.825651302606,0.0029327482128696067,0.0008921370373019376
8430.861723446895,0.004695619687529872,0.0022131720628209657
8448.897795591183,0.002171088502943002,0.00976495048076442
8466.933867735472,0.0020366428159240336,0.0031529217574073356
8484.96993987976,0.002860582566339135,0.00357285783825512
8503.006012024049,0.0010911013880512657,0.004848273076070474
8521.042084168337,0.0019794967875098432,0.004544515751316643
8539.078156312626,0.0019678527132626885,0.002090135434564764
8557.114228456914,0.00045807791200538103,0.005430050150426542
8575.150300601203,0.0014783029889771098,0.0024791460079815865
8593.186372745491,0.0024115422937608646,0.003360179225696512
8611.22244488978,0.001731762152209907,0.003387142644572627
8629.258517034068,0.005472175326091189,0.0036592882961274764
8647.294589178357,0.0034459948708056363,0.0003795897794992068
8665.330661322645,0.0025725584594980524,0.0038718545455365436
8683.366733466934,0.0006337563339639736,0.003138635611610553
8701.402805611222,0.0032275214840702298,0.00500195938096216
8719.43887775551,0.000841194928962845,0.002300799697714139
8737.474949899799,0.0014856304531407445,0.003471363151047603
8755.511022044087,0.004901585001233793,0.0037301966039837912
8773.547094188376,0.0029569659817538195,0.002387877162934711
8791.583166332666,0.0013559194859397187,0.0032437210016326655
8809.619238476955,0.0009055887808493716,0.003637809948327793
8827.655310621243,0.0010579370594576963,0.0017950395747159393
8845.691382765532,0.005676449808677029,0.00515896809350233
8863.72745490982,0.004326002184011378,0.005600894269043642
8881.763527054109,0.0031645787612310235,0.0008942041774676889
8899.799599198397,0.0020735764685898684,0.0010121909491778596
8917.835671342686,0.0029411906371000305,0.002247614324936877
8935.871743486974,0.0020662126176834274,0.005476052112294326
8953.907815631264,0.001643754856604809,0.0026401291995080674
8971.943887775553,0.005341376622410394,0.004131626694016405
8989.979959919841,0.0026885149858113183,0.0011142579946269815
9008.01603206413,0.0002175887375153159,0.005257493344421603
9026.052104208418,0.003205442509400587,0.004209424961538357
9044.088176352707,0.0007530919218636013,0.0034101800051968612
9062.124248496995,0.003011777995696434,0.0031919598620578737
9080.160320641284,0.0035207479811388835,0.004381600606849243
9098.196392785572,0.005040146482573862,0.002274798969005233
9116.23246492986,0.0010806951027371755,0.002469407191700015
9134.26853707415,0.001494709520868112,0.0011409570879561104
9152.304609218438,0.0059119368609202895,0.0028706004445079973
9170.340681362726,0.001039751328088877,0.0016758954820656547
9188.376753507015,0.004555381759745393,0.00247118365147227
9206.412825651303,0.0032622433607519107,0.006727636206194364
9224.448897795592,0.0022354922785387124,0.0016086397502166712
9242.48496993988,0.0034361710579127796,0.004857760869842383
9260.521042084169,0.003912740463683466,0.005203475515347354
9278.557114228457,0.004566635074714208,0.008565123297412406
9296.593186372746,0.0059644475270345535,0.0024581090460717397
9314.629258517034,0.008771821270667253,0.003486842816905489
9332.665330661323,0.0013398512177917757,0.00336249792274944
9350.701402805611,0.0029655349320816754,0.0017694355434932066
9368.7374749499,0.0013235954589146137,0.004794253591321313
9386.77354709419,0.0028071992247737415,0.0038115948236796815
9404.809619238478,0.0027478027874620514,0.006044199069437693
9422.845691382767,0.003840313176929964,0.003685801389962234
9440.881763527055,0.0037674559979996446,0.004463745271531554
9458.917835671344,0.002367479677337959,0.002010562493301049
9476.953907815632,0.002903478221912613,0.0017177881445655126
9494.98997995992,0.004227070849277575,0.004936692075419781
9513.02605210421,0.007019163884021285,0.006005842776926623
9531.062124248498,0.0023477527617554892,0.0032635706159635557
9549.098196392786,0.0013621985464545342,0.004580413759984333
9567.134268537075,0.0067534183060417325,0.002725707600862625
9585.170340681363,0.0023312172174375376,0.002021397217279183
9603.206412825652,0.0005988433293524648,0.0041701639643578585
9621.24248496994,0.006219565343962678,0.0008584077879325901
9639.278557114229,0.004516483631109662,0.008425187782024798
9657.314629258517,0.0010551232660634996,0.0004569042600373436
9675.350701402805,0.010654863680290007,0.00352881705906126
9693.386773547094,0.0035228693037652973,0.0033950557889776247
9711.422845691382,0.0010890445807876766,0.003851281976199341
9729.458917835673,0.003957364953302758,0.0019863229824854346
9747.494989979961,0.004942954501957477,0.00429225457434405
9765.53106212425,0.0028433571204021153,0.0024175434528546334
9783.567134268538,0.0033899041252036586,0.0026539265879101334
9801.603206412827,0.0033856385242567386,0.001369555903089601
9819.639278557115,0.00373101126112338,0.0037106587224256184
9837.675350701404,0.001081809835469852,0.005591390527078357
9855.711422845692,0.004713012458192045,0.005888239571425625
9873.74749498998,0.0035763105781373766,0.0006200188718734926
9891.78356713427,0.00525488732057579,0.006820511527709546
9909.819639278558,0.005296371790211443,0.0026468218386123624
9927.855711422846,0.0007434372355219799,0.00414915913979656
9945.891783567135,0.003725520187061141,0.0014704204250166654
9963.927855711423,0.004087600013781981,0.002669658077131149
9981.963927855712,0.004976478816858812,0.005405401076059348
10000.0,0.004411692130971649,0.0008331760753998588
