L,Delta3_Riemann,Delta3_Riemann_SE,Delta3_GUE_numerical,Delta3_GUE_SE,Delta3_GUE_asymptotic,discrepancy,sigma_sum,z_score,dDelta_dlogL,gap_from_plateau,frac_gap,rel_dev_gue
2,0.0937473120909319,0.0006484471381447,0.094411840744002,0.0002020251077559,0.2912517305574452,0.0006645286530700956,0.0006791891011580167,0.9784147771763047,0.04322584357158225,0.09700999856853831,0.5085519303724899,0.007038615578653605
3,0.1112738834277501,0.0007129255701312,0.1151563054361375,0.0003728594758746,0.3323339352366329,0.0038824220083873984,0.0008045415199331716,4.825632875615777,0.04362952489237837,0.07948342723172011,0.41667303316940596,0.033714367560536945
4,0.1239077124482959,0.000733322517146,0.1298033869289499,0.0004626645353296,0.3614822233301281,0.005895674480654006,0.0008670757673958488,6.7994916965110335,0.04290682484918856,0.06684959821117431,0.35044317819362975,0.045420035795222385
5,0.1333074322193488,0.0007303345774024,0.140982299775747,0.0005671204589069,0.3840913920714386,0.007674867556398207,0.000924669784225869,8.300117174071591,0.04033562036871313,0.05744987844012142,0.30116737461600035,0.054438518655222735
6,0.140395060875442,0.0007402172098224,0.1504422134621427,0.0006127479797858,0.4025644280093158,0.010047152586700692,0.0009609274709616943,10.455682546618759,0.040033115565857536,0.0503622497840282,0.26401216084416396,0.06678413163090663
7,0.1467172201166539,0.0007262066781755,0.1587598081268924,0.0008784430693283,0.4181831573486846,0.012042588010238497,0.001139753642449814,10.565957029410205,0.040152361505987166,0.044040090542816324,0.2308697390970999,0.0758541355795365
9,0.156455525316721,0.0006879530372568,0.1707961062056912,0.0006576053952299,0.4436466326885034,0.014340580888970195,0.0009516954540746367,15.068455804398047,0.0365752621436789,0.03430178534274922,0.17981898163778864,0.08396316056350671
11,0.1634467272014892,0.0006228815687652,0.1807544380644579,0.0004385712576387,0.4639788250750596,0.0173077108629687,0.0007617914391315956,22.71974975552184,0.029820832546206932,0.027310583457981014,0.1431692623656999,0.0957526191240554
14,0.1691839449916544,0.0004822308092794,0.1940537313229837,0.0007651077949382,0.4884136501213675,0.024869786331329302,0.0009043984140263957,27.498706262219798,0.018118195005346338,0.021573365667815814,0.11309325757022984,0.12815927919435852
17,0.1718151473799717,0.0003818349227511,0.2035637707833266,0.0011321300428578,0.5080857673158042,0.03174862340335491,0.001194787153502055,26.57261865454122,0.009143400712141425,0.01894216327949852,0.09929980252926222,0.1559640169819224
21,0.1727333519447654,0.0003223633812621,0.2148000309018762,0.0016037927493154,0.5294958548005553,0.042066678957110776,0.001635869595149743,25.715178692626846,0.007481921176161088,0.018023958714704802,0.09448633267261884,0.19584112153283373
26,0.1750083749659792,0.0003067826827705,0.2241419676826121,0.0020832923789084,0.551135435438102,0.049133592716632896,0.0021057594236915302,23.332956350017696,0.00916339860560661,0.015748935693491006,0.08256006356477298,0.2192074658067011
32,0.1766105239826732,0.0002721335718212,0.2318019408593226,0.0018611710571686,0.5721737016481768,0.055191416876649385,0.0018809610269631448,29.342137389075628,0.007056267765393254,0.014146786676797002,0.07416117698393794,0.23809730268886875
40,0.1780268730192763,0.0002278117951283,0.243730072563969,0.0018807915258377,0.5947828703894873,0.0657031995446927,0.0018945381964115904,34.68032456096156,0.006346793797665562,0.012730437640193909,0.06673630277226758,0.2695736264857031
50,0.1794430161976134,0.0002059048015058,0.2545723642633092,0.0022446321659555,0.6173920391307977,0.0751293480656958,0.00225405642070584,33.33073093271092,0.006190432629277265,0.011314294461856805,0.05931250772377726,0.2951198111511744
62,0.1807423199990368,0.0001890864293603,0.2653076876701316,0.0024192687441298,0.6391873787285229,0.08456536767109477,0.002426646849892173,34.848650381431646,0.0057827636361522106,0.010014990660433404,0.05250121542293931,0.3187445053467072
76,0.1818700866707227,0.0001710050440339,0.2779040005322455,0.0025748805159076,0.6598162658619086,0.0960339138615228,0.0025805527307702168,37.214474525718984,0.0053448223925061655,0.0088872239887475,0.04658916587795945,0.34556506447405344
95,0.1830152218927515,0.0001567661513933,0.2883017369280847,0.0022529859701654,0.6824254346032191,0.1052865150353332,0.0022584333968449894,46.6192694380173,0.0051100333385170615,0.007742088766718724,0.040586065823393205,0.3651955626670274
117,0.1840753882284089,0.0001462210892185,0.3006732742108681,0.0042915140141355,0.7035303375691601,0.11659788598245918,0.004294004324689675,27.153648940697245,0.004982201375407225,0.006681922431061305,0.03502839502172222,0.38778932476947314
145,0.1851206133481989,0.0001363656807329,0.3085798770116985,0.0031544867866311,0.7252697912395762,0.12345926366349957,0.003157432894918267,39.1011520346802,0.004838009041044478,0.00563669731127131,0.029549050003822092,0.400088511470951
180,0.1861594080747023,0.0001291112796789,0.3194421454360518,0.00632838657463,0.7471777725205454,0.13328273736134952,0.006329703497044514,21.05671101712463,0.004746326685889035,0.004597902584767916,0.024103414799005247,0.4172359197607224
223,0.1871638445033213,0.0001254382728898,0.3299062703523711,0.0046725547529729,0.768882281826538,0.14274242584904978,0.004674238192458233,30.53811551139202,0.004663828565147299,0.0035934661561489167,0.01883789482943477,0.4326756981508335
276,0.188152983037005,0.0001205414835167,0.3420421944482142,0.0052861113259782,0.790486906043644,0.1538892114112092,0.005287485527155929,29.104422247749252,0.004537045050394484,0.002604327622465208,0.01365257044913112,0.4499129461482516
342,0.189103820663664,0.0001155664685545,0.3552900377676168,0.0071079066814508,0.8122111679929669,0.16618621710395282,0.007108846108959391,23.377382849026045,0.004403234295567993,0.0016534899958062232,0.008668029498266231,0.46774803523382097
424,0.1900434027345121,0.0001116872616007,0.3643230303592067,0.0084307541663053,0.8339873921895142,0.17427962762469462,0.008431493927951205,20.670076870593604,0.003838489006956769,0.0007139079249581237,0.00374249313166589,0.47836566206880327
526,0.1907555646791581,0.0001116344913064,0.3667822599205068,0.0130845612231606,0.8558289725351216,0.17602669524134867,0.013085037434500797,13.452517512653506,0.001649548980900306,1.7459803121067097e-06,9.152888065315309e-06,0.4799215078709073
651,0.190758452511244,0.0001227044382072,0.3816270503818219,0.0109870202593487,0.8774315029716329,0.1908685978705779,0.010987705427362646,17.371106199776566,5.511860122653367e-06,-1.141851773772684e-06,-5.985887355117189e-06,0.5001443102096977
807,0.1907578979871186,0.0001355485889948,0.385875430892508,0.0128884764200098,0.8991967143551478,0.19511753290538938,0.01288918918509334,15.138076577465984,-8.315978047956918e-06,-5.873276483769896e-07,-3.0789260256738237e-06,0.505649018529357
1000,0.1907548872960174,0.0001499307473681,0.4034343621540291,0.0194016126695372,0.9209231789628398,0.21267947485801172,0.019402191974304157,10.961620993116645,-1.4040332445400313e-05,2.4233634528247894e-06,1.2703908670377769e-05,0.5271724345007871
